,Unnamed: 0,Sort ,State,FIPS ,County ,CountySeat(s) ,Population(2010),LandAreakm2 ,LandAreami2 ,WaterAreakm2 ,WaterAreami2 ,TotalAreakm2 ,TotalAreami2 ,Latitude ,Longitude,Hover,NEVER MASK,max_risk
578,578,579,ID,16055,Kootenai,Coeur d'Alene,138494,3222.268,1244.125,185.180,71.498,3407.448,1315.6229999999998,47.677113,-116.69491799999999,"Kootenai<br>Every 10,000 People 1460.0 Not using Mask<br>Max of 9.0 People can get Infected",1460.0,9.0
579,579,580,ID,16057,Latah,Moscow,37244,2786.816,1075.996,2.373,0.916,2789.1890000000003,1076.912,46.81892,-116.730974,"Latah<br>Every 10,000 People 20.0 Not using Mask<br>Max of 16.0 People can get Infected",20.0,16.0
580,580,581,ID,16059,Lemhi,Salmon,7936,11819.118,4563.387,13.894,5.365,11833.013,4568.752,44.928789,-113.887841,"Lemhi<br>Every 10,000 People 1090.0 Not using Mask<br>Max of 0.0 People can get Infected",1090.0,0.0
581,581,582,ID,16061,Lewis,Nezperce,3821,1240.0739999999998,478.795,2.444,0.944,1242.518,479.73900000000003,46.236328,-116.42376000000002,"Lewis<br>Every 10,000 People 270.0 Not using Mask<br>Max of 0.0 People can get Infected",270.0,0.0
582,582,583,ID,16063,Lincoln,Shoshone,5208,3111.625,1201.405,11.608,4.482,3123.2340000000004,1205.887,42.986181,-114.153899,"Lincoln<br>Every 10,000 People 1800.0 Not using Mask<br>Max of 0.0 People can get Infected",1800.0,0.0
583,583,584,ID,16065,Madison,Rexburg,37536,1215.238,469.20599999999996,10.412,4.020,1225.65,473.226,43.789709,-111.65655,"Madison<br>Every 10,000 People 1010.0 Not using Mask<br>Max of 14.0 People can get Infected",1010.0,14.0
584,584,585,ID,16067,Minidoka,Rupert,20069,1962.152,757.591,13.821,5.336,1975.973,762.927,42.856937,-113.64001,"Minidoka<br>Every 10,000 People 1340.0 Not using Mask<br>Max of 5.0 People can get Infected",1340.0,5.0
585,585,586,ID,16069,Nez Perce,Lewiston,39265,2196.547,848.092,21.213,8.190,2217.76,856.2819999999999,46.333766,-116.760903,"Nez Perce<br>Every 10,000 People 90.0 Not using Mask<br>Max of 16.0 People can get Infected",90.0,16.0
586,586,587,ID,16071,Oneida,Malad City,4286,3108.143,1200.0610000000001,3.995,1.543,3112.139,1201.604,42.183890000000005,-112.52046499999999,"Oneida<br>Every 10,000 People 830.0 Not using Mask<br>Max of 0.0 People can get Infected",830.0,0.0
587,587,588,ID,16073,Owyhee,Murphy,11526,19853.582,7665.5109999999995,81.509,31.471,19935.091,7696.982,42.593063,-116.142655,"Owyhee<br>Every 10,000 People 1230.0 Not using Mask<br>Max of 8.0 People can get Infected",1230.0,8.0
588,588,589,ID,16075,Payette,Payette,22623,1053.78,406.86699999999996,8.827,3.408,1062.608,410.275,44.00274,-116.748655,"Payette<br>Every 10,000 People 810.0 Not using Mask<br>Max of 12.0 People can get Infected",810.0,12.0
589,589,590,ID,16077,Power,American Falls,7817,3636.974,1404.244,99.513,38.422,3736.487,1442.6660000000002,42.694126000000004,-112.844407,"Power<br>Every 10,000 People 780.0 Not using Mask<br>Max of 12.0 People can get Infected",780.0,12.0
590,590,591,ID,16079,Shoshone,Wallace,12765,6810.8,2629.665,14.137,5.458,6824.937,2635.123,47.347694,-115.88509199999999,"Shoshone<br>Every 10,000 People 680.0 Not using Mask<br>Max of 5.0 People can get Infected",680.0,5.0
591,591,592,ID,16081,Teton,Driggs,10170,1164.0839999999998,449.45599999999996,2.859,1.104,1166.944,450.56,43.760994000000004,-111.21176499999999,"Teton<br>Every 10,000 People 990.0 Not using Mask<br>Max of 3.0 People can get Infected",990.0,3.0
592,592,593,ID,16083,Twin Falls,Twin Falls,77230,4975.917,1921.213,18.418,7.111,4994.335,1928.3239999999998,42.352309000000005,-114.66563899999998,"Twin Falls<br>Every 10,000 People 1660.0 Not using Mask<br>Max of 31.0 People can get Infected",1660.0,31.0
593,593,594,ID,16085,Valley,Cascade,9862,9491.05,3664.515,177.273,68.446,9668.324,3732.961,44.771532,-115.637875,"Valley<br>Every 10,000 People 410.0 Not using Mask<br>Max of 0.0 People can get Infected",410.0,0.0
594,594,595,ID,16087,Washington,Weiser,10198,3763.205,1452.9820000000002,53.213,20.546,3816.4179999999997,1473.5279999999998,44.448213,-116.79783,"Washington<br>Every 10,000 People 1360.0 Not using Mask<br>Max of 16.0 People can get Infected",1360.0,16.0
595,595,596,IL,17001,Adams,Quincy,67103,2214.964,855.202,41.793,16.136,2256.757,871.3380000000001,39.986053000000005,-91.19496099999999,"Adams<br>Every 10,000 People 1800.0 Not using Mask<br>Max of 23.0 People can get Infected",1800.0,23.0
596,596,597,IL,17003,Alexander,Cairo,8238,609.966,235.50900000000001,44.268,17.092,654.234,252.601,37.183683,-89.349506,"Alexander<br>Every 10,000 People 1100.0 Not using Mask<br>Max of 5.0 People can get Infected",1100.0,5.0
597,597,598,IL,17005,Bond,Greenville,17768,984.919,380.279,6.426,2.481,991.345,382.76,38.885923999999996,-89.436592,"Bond<br>Every 10,000 People 700.0 Not using Mask<br>Max of 68.0 People can get Infected",700.0,68.0
598,598,599,IL,17007,Boone,Belvidere,54165,727.06,280.719,3.381,1.305,730.441,282.024,42.318983,-88.82429499999999,"Boone<br>Every 10,000 People 250.0 Not using Mask<br>Max of 19.0 People can get Infected",250.0,19.0
599,599,600,IL,17009,Brown,Mount Sterling,6937,791.518,305.607,4.139,1.598,795.658,307.205,39.962069,-90.75031,"Brown<br>Every 10,000 People 1800.0 Not using Mask<br>Max of 2.0 People can get Infected",1800.0,2.0
600,600,601,IL,17011,Bureau,Princeton,34978,2250.78,869.0310000000001,11.584,4.472,2262.364,873.503,41.401303999999996,-89.528377,"Bureau<br>Every 10,000 People 120.0 Not using Mask<br>Max of 51.0 People can get Infected",120.0,51.0
601,601,602,IL,17013,Calhoun,Hardin,5089,657.403,253.825,77.057,29.752,734.46,283.577,39.164262,-90.66629499999999,"Calhoun<br>Every 10,000 People 820.0 Not using Mask<br>Max of 12.0 People can get Infected",820.0,12.0
602,602,603,IL,17015,Carroll,Mount Carroll,15387,1152.045,444.80699999999996,55.822,21.553,1207.867,466.36,42.059084000000006,-89.926485,"Carroll<br>Every 10,000 People 300.0 Not using Mask<br>Max of 19.0 People can get Infected",300.0,19.0
603,603,604,IL,17017,Cass,Virginia,13642,973.365,375.81800000000004,20.582,7.947,993.947,383.765,39.969202,-90.245705,"Cass<br>Every 10,000 People 1030.0 Not using Mask<br>Max of 44.0 People can get Infected",1030.0,44.0
604,604,605,IL,17019,Champaign,Urbana,201081,2580.3160000000003,996.2660000000001,5.509,2.127,2585.825,998.393,40.13915,-88.197201,"Champaign<br>Every 10,000 People 0.0 Not using Mask<br>Max of 1329.0 People can get Infected",0.0,1329.0
605,605,606,IL,17021,Christian,Taylorville,34800,1837.279,709.377,16.221,6.263,1853.5,715.64,39.545524,-89.279593,"Christian<br>Every 10,000 People 590.0 Not using Mask<br>Max of 33.0 People can get Infected",590.0,33.0
606,606,607,IL,17023,Clark,Marshall,16335,1298.6660000000002,501.418,8.807,3.400,1307.473,504.81800000000004,39.332364,-87.791687,"Clark<br>Every 10,000 People 1270.0 Not using Mask<br>Max of 2.0 People can get Infected",1270.0,2.0
607,607,608,IL,17025,Clay,Louisville,13815,1212.932,468.316,3.305,1.276,1216.237,469.592,38.747312,-88.483789,"Clay<br>Every 10,000 People 620.0 Not using Mask<br>Max of 37.0 People can get Infected",620.0,37.0
608,608,609,IL,17027,Clinton,Carlyle,37762,1227.874,474.085,75.592,29.186,1303.4669999999999,503.27099999999996,38.606423,-89.423136,"Clinton<br>Every 10,000 People 1020.0 Not using Mask<br>Max of 89.0 People can get Infected",1020.0,89.0
609,609,610,IL,17029,Coles,Charleston,53873,1316.4660000000001,508.291,4.625,1.786,1321.0910000000001,510.077,39.51368,-88.220782,"Coles<br>Every 10,000 People 1120.0 Not using Mask<br>Max of 80.0 People can get Infected",1120.0,80.0
610,610,611,IL,17031,Cook,Chicago,5194675,2448.384,945.326,"1,785.882",689.533,4234.266,1634.859,41.894294,-87.645455,"Cook<br>Every 10,000 People 230.0 Not using Mask<br>Max of 2391.0 People can get Infected",230.0,2391.0
611,611,612,IL,17033,Crawford,Robinson,19817,1148.994,443.629,5.670,2.189,1154.665,445.81800000000004,39.00373,-87.757172,"Crawford<br>Every 10,000 People 1460.0 Not using Mask<br>Max of 63.0 People can get Infected",1460.0,63.0
612,612,613,IL,17035,Cumberland,Toledo,11048,896.199,346.024,2.536,0.979,898.7339999999999,347.00300000000004,39.273121,-88.240619,"Cumberland<br>Every 10,000 People 950.0 Not using Mask<br>Max of 14.0 People can get Infected",950.0,14.0
613,613,614,IL,17037,DeKalb,Clinton,105160,1635.0770000000002,631.307,8.684,3.353,1643.7620000000002,634.66,41.894613,-88.768991,"DeKalb<br>Every 10,000 People 70.0 Not using Mask<br>Max of 77.0 People can get Infected",70.0,77.0
614,614,615,IL,17039,De Witt,Sycamore,16561,1029.555,397.51300000000003,19.609,7.571,1049.163,405.084,40.181499,-88.901853,"De Witt<br>Every 10,000 People 350.0 Not using Mask<br>Max of 12.0 People can get Infected",350.0,12.0
615,615,616,IL,17041,Douglas,Tuscola,19980,1079.156,416.665,1.449,0.559,1080.605,417.224,39.766078,-88.222866,"Douglas<br>Every 10,000 People 480.0 Not using Mask<br>Max of 7.0 People can get Infected",480.0,7.0
616,616,617,IL,17043,DuPage,Wheaton,916924,848.2180000000001,327.499,23.083,8.913,871.302,336.412,41.852058,-88.086038,"DuPage<br>Every 10,000 People 100.0 Not using Mask<br>Max of 420.0 People can get Infected",100.0,420.0
617,617,618,IL,17045,Edgar,Paris,18576,1614.5320000000002,623.374,1.611,0.622,1616.1429999999998,623.996,39.679037,-87.74710999999999,"Edgar<br>Every 10,000 People 1740.0 Not using Mask<br>Max of 2.0 People can get Infected",1740.0,2.0
618,618,619,IL,17047,Edwards,Albion,6721,576.054,222.416,0.789,0.305,576.8430000000001,222.72099999999998,38.417095,-88.04794100000001,"Edwards<br>Every 10,000 People 860.0 Not using Mask<br>Max of 5.0 People can get Infected",860.0,5.0
619,619,620,IL,17049,Effingham,Effingham,34242,1240.028,478.777,3.183,1.229,1243.211,480.006,39.047694,-88.592786,"Effingham<br>Every 10,000 People 720.0 Not using Mask<br>Max of 70.0 People can get Infected",720.0,70.0
620,620,621,IL,17051,Fayette,Vandalia,22140,1855.68,716.482,22.950,8.861,1878.63,725.3430000000001,39.001125,-89.017923,"Fayette<br>Every 10,000 People 690.0 Not using Mask<br>Max of 30.0 People can get Infected",690.0,30.0
621,621,622,IL,17053,Ford,Paxton,14081,1257.739,485.616,1.622,0.626,1259.36,486.24199999999996,40.594423,-88.224746,"Ford<br>Every 10,000 People 110.0 Not using Mask<br>Max of 5.0 People can get Infected",110.0,5.0
622,622,623,IL,17055,Franklin,Benton,39561,1059.018,408.889,58.417,22.555,1117.435,431.444,37.991848,-88.92624599999999,"Franklin<br>Every 10,000 People 990.0 Not using Mask<br>Max of 44.0 People can get Infected",990.0,44.0
623,623,624,IL,17057,Fulton,Lewistown,37069,2241.88,865.595,43.974,16.979,2285.855,882.574,40.465688,-90.206793,"Fulton<br>Every 10,000 People 160.0 Not using Mask<br>Max of 5.0 People can get Infected",160.0,5.0
624,624,625,IL,17059,Gallatin,Shawneetown,5589,836.75,323.07099999999997,13.239,5.111,849.9889999999999,328.18199999999996,37.768677000000004,-88.227964,"Gallatin<br>Every 10,000 People 2010.0 Not using Mask<br>Max of 2.0 People can get Infected",2010.0,2.0
625,625,626,IL,17061,Greene,Carrollton,13886,1406.414,543.019,8.425,3.253,1414.839,546.2719999999999,39.355444,-90.387757,"Greene<br>Every 10,000 People 1360.0 Not using Mask<br>Max of 51.0 People can get Infected",1360.0,51.0
626,626,627,IL,17063,Grundy,Morris,50063,1082.726,418.043,32.127,12.404,1114.853,430.44699999999995,41.29241,-88.401055,"Grundy<br>Every 10,000 People 560.0 Not using Mask<br>Max of 23.0 People can get Infected",560.0,23.0
627,627,628,IL,17065,Hamilton,McLeansboro,8457,1125.777,434.665,3.175,1.226,1128.952,435.89099999999996,38.085226,-88.539005,"Hamilton<br>Every 10,000 People 1380.0 Not using Mask<br>Max of 5.0 People can get Infected",1380.0,5.0
628,628,629,IL,17067,Hancock,Carthage,19104,2055.741,793.7260000000001,53.536,20.670,2109.276,814.3960000000001,40.405792,-91.167988,"Hancock<br>Every 10,000 People 1470.0 Not using Mask<br>Max of 12.0 People can get Infected",1470.0,12.0
629,629,630,IL,17069,Hardin,Elizabethtown,4320,459.79400000000004,177.528,10.491,4.051,470.286,181.579,37.517852000000005,-88.266148,"Hardin<br>Every 10,000 People 1630.0 Not using Mask<br>Max of 0.0 People can get Infected",1630.0,0.0
630,630,631,IL,17071,Henderson,Oquawka,7331,981.2739999999999,378.87199999999996,42.341,16.348,1023.6139999999999,395.22,40.815141,-90.93848,"Henderson<br>Every 10,000 People 960.0 Not using Mask<br>Max of 14.0 People can get Infected",960.0,14.0
631,631,632,IL,17073,Henry,Cambridge,50486,2131.522,822.985,6.884,2.658,2138.406,825.643,41.350021000000005,-90.130838,"Henry<br>Every 10,000 People 670.0 Not using Mask<br>Max of 87.0 People can get Infected",670.0,87.0
632,632,633,IL,17075,Iroquois,Watseka,29718,2893.836,1117.316,4.172,1.611,2898.008,1118.927,40.748867,-87.833601,"Iroquois<br>Every 10,000 People 970.0 Not using Mask<br>Max of 5.0 People can get Infected",970.0,5.0
633,633,634,IL,17077,Jackson,Murphysboro,60218,1512.764,584.081,47.392,18.298,1560.155,602.379,37.786096,-89.381212,"Jackson<br>Every 10,000 People 660.0 Not using Mask<br>Max of 87.0 People can get Infected",660.0,87.0
634,634,635,IL,17079,Jasper,Newton,9698,1280.774,494.51,9.349,3.610,1290.123,498.12,39.004874,-88.150763,"Jasper<br>Every 10,000 People 990.0 Not using Mask<br>Max of 33.0 People can get Infected",990.0,33.0
635,635,636,IL,17081,Jefferson,Mount Vernon,38827,1479.32,571.169,32.674,12.615,1511.994,583.784,38.300779999999996,-88.92421,"Jefferson<br>Every 10,000 People 1220.0 Not using Mask<br>Max of 21.0 People can get Infected",1220.0,21.0
636,636,637,IL,17083,Jersey,Jerseyville,22985,956.408,369.27099999999996,20.349,7.857,976.757,377.12800000000004,39.080192,-90.361365,"Jersey<br>Every 10,000 People 740.0 Not using Mask<br>Max of 70.0 People can get Infected",740.0,70.0
637,637,638,IL,17085,Jo Daviess,Galena,22678,1556.809,601.087,45.690,17.641,1602.499,618.7280000000001,42.362390999999995,-90.211471,"Jo Daviess<br>Every 10,000 People 340.0 Not using Mask<br>Max of 16.0 People can get Infected",340.0,16.0
638,638,639,IL,17087,Johnson,Vienna,12582,890.7360000000001,343.915,12.817,4.949,903.552,348.86400000000003,37.460815000000004,-88.882962,"Johnson<br>Every 10,000 People 1240.0 Not using Mask<br>Max of 7.0 People can get Infected",1240.0,7.0
639,639,640,IL,17089,Kane,Geneva,515269,1346.943,520.058,10.731,4.143,1357.674,524.201,41.939594,-88.42804,"Kane<br>Every 10,000 People 130.0 Not using Mask<br>Max of 279.0 People can get Infected",130.0,279.0
640,640,641,IL,17091,Kankakee,Kankakee,113449,1752.271,676.556,12.452,4.808,1764.723,681.3639999999999,41.139494,-87.861125,"Kankakee<br>Every 10,000 People 440.0 Not using Mask<br>Max of 77.0 People can get Infected",440.0,77.0
641,641,642,IL,17093,Kendall,Yorkville,114736,829.665,320.335,5.141,1.985,834.805,322.32,41.58814,-88.430626,"Kendall<br>Every 10,000 People 10.0 Not using Mask<br>Max of 33.0 People can get Infected",10.0,33.0
642,642,643,IL,17095,Knox,Galesburg,52919,1855.454,716.395,8.849,3.417,1864.3029999999999,719.812,40.930941,-90.213761,"Knox<br>Every 10,000 People 350.0 Not using Mask<br>Max of 35.0 People can get Infected",350.0,35.0
643,643,644,IL,17097,Lake,Ottawa,703462,1149.1,443.67,"2,395.244",924.809,3544.344,1368.479,42.326444,-87.43611800000001,"Lake<br>Every 10,000 People 200.0 Not using Mask<br>Max of 374.0 People can get Infected",200.0,374.0
644,644,645,IL,17099,La Salle,Waukegan,113924,2939.958,1135.124,33.701,13.012,2973.658,1148.136,41.343340999999995,-88.885931,"La Salle<br>Every 10,000 People 180.0 Not using Mask<br>Max of 129.0 People can get Infected",180.0,129.0
645,645,646,IL,17101,Lawrence,Lawrenceville,16833,963.937,372.17800000000005,5.078,1.961,969.015,374.139,38.718954,-87.730221,"Lawrence<br>Every 10,000 People 1970.0 Not using Mask<br>Max of 77.0 People can get Infected",1970.0,77.0
646,646,647,IL,17103,Lee,Dixon,36031,1877.473,724.8960000000001,10.506,4.057,1887.979,728.953,41.747442,-89.299351,"Lee<br>Every 10,000 People 130.0 Not using Mask<br>Max of 51.0 People can get Infected",130.0,51.0
647,647,648,IL,17105,Livingston,Pontiac,38950,2704.687,1044.285,4.253,1.642,2708.9390000000003,1045.927,40.894376,-88.552852,"Livingston<br>Every 10,000 People 300.0 Not using Mask<br>Max of 33.0 People can get Infected",300.0,33.0
648,648,649,IL,17107,Logan,Lincoln,30305,1600.765,618.059,2.247,0.868,1603.0120000000002,618.927,40.12907,-89.365308,"Logan<br>Every 10,000 People 460.0 Not using Mask<br>Max of 44.0 People can get Infected",460.0,44.0
649,649,650,IL,17109,McDonough,Decatur,32612,1526.558,589.4069999999999,2.013,0.777,1528.5710000000001,590.184,40.455789,-90.67757900000001,"McDonough<br>Every 10,000 People 410.0 Not using Mask<br>Max of 63.0 People can get Infected",410.0,63.0
650,650,651,IL,17111,McHenry,Carlinville,308760,1562.2060000000001,603.1709999999999,19.792,7.642,1581.9979999999998,610.813,42.324298,-88.45224499999999,"McHenry<br>Every 10,000 People 300.0 Not using Mask<br>Max of 144.0 People can get Infected",300.0,144.0
651,651,652,IL,17113,McLean,Edwardsville,169572,3064.934,1183.378,7.491,2.892,3072.4240000000004,1186.27,40.494559,-88.844539,"McLean<br>Every 10,000 People 850.0 Not using Mask<br>Max of 683.0 People can get Infected",850.0,683.0
652,652,653,IL,17115,Macon,Salem,110768,1503.977,580.689,13.406,5.176,1517.3829999999998,585.865,39.860237,-88.961529,"Macon<br>Every 10,000 People 160.0 Not using Mask<br>Max of 145.0 People can get Infected",160.0,145.0
653,653,654,IL,17117,Macoupin,Lacon,47765,2234.917,862.9060000000001,12.287,4.744,2247.205,867.65,39.2659,-89.926344,"Macoupin<br>Every 10,000 People 150.0 Not using Mask<br>Max of 56.0 People can get Infected",150.0,56.0
654,654,655,IL,17119,Madison,Havana,269282,1853.348,715.582,64.697,24.980,1918.045,740.562,38.827082,-89.900195,"Madison<br>Every 10,000 People 350.0 Not using Mask<br>Max of 377.0 People can get Infected",350.0,377.0
655,655,656,IL,17121,Marion,Metropolis,39437,1482.414,572.363,9.513,3.673,1491.9260000000002,576.036,38.648396000000005,-88.920221,"Marion<br>Every 10,000 People 1000.0 Not using Mask<br>Max of 42.0 People can get Infected",1000.0,42.0
656,656,657,IL,17123,Marshall,Macomb,12640,1001.779,386.789,30.368,11.725,1032.147,398.514,41.031119,-89.342371,"Marshall<br>Every 10,000 People 480.0 Not using Mask<br>Max of 0.0 People can get Infected",480.0,0.0
657,657,658,IL,17125,Mason,Woodstock,14666,1396.619,539.238,62.745,24.226,1459.364,563.464,40.236993,-89.913575,"Mason<br>Every 10,000 People 2380.0 Not using Mask<br>Max of 16.0 People can get Infected",2380.0,16.0
658,658,659,IL,17127,Massac,Bloomington,15429,614.391,237.218,11.905,4.596,626.295,241.81400000000002,37.216119,-88.705658,"Massac<br>Every 10,000 People 970.0 Not using Mask<br>Max of 7.0 People can get Infected",970.0,7.0
659,659,660,IL,17129,Menard,Petersburg,12705,814.388,314.437,2.642,1.020,817.03,315.457,40.022569,-89.794133,"Menard<br>Every 10,000 People 1020.0 Not using Mask<br>Max of 12.0 People can get Infected",1020.0,12.0
660,660,661,IL,17131,Mercer,Aledo,16434,1453.507,561.202,19.403,7.492,1472.91,568.694,41.204791,-90.741433,"Mercer<br>Every 10,000 People 390.0 Not using Mask<br>Max of 19.0 People can get Infected",390.0,19.0
661,661,662,IL,17133,Monroe,Waterloo,32957,997.173,385.01099999999997,33.734,13.025,1030.9080000000001,398.036,38.277983,-90.179078,"Monroe<br>Every 10,000 People 30.0 Not using Mask<br>Max of 51.0 People can get Infected",30.0,51.0
662,662,663,IL,17135,Montgomery,Hillsboro,30104,1822.54,703.687,15.513,5.990,1838.0529999999999,709.677,39.228092,-89.47800699999999,"Montgomery<br>Every 10,000 People 180.0 Not using Mask<br>Max of 12.0 People can get Infected",180.0,12.0
663,663,664,IL,17137,Morgan,Jacksonville,35547,1473.161,568.7909999999999,9.079,3.506,1482.241,572.297,39.716806,-90.202277,"Morgan<br>Every 10,000 People 500.0 Not using Mask<br>Max of 40.0 People can get Infected",500.0,40.0
664,664,665,IL,17139,Moultrie,Sullivan,14846,870.0889999999999,335.94300000000004,22.102,8.534,892.191,344.477,39.636896,-88.625726,"Moultrie<br>Every 10,000 People 810.0 Not using Mask<br>Max of 9.0 People can get Infected",810.0,9.0
665,665,666,IL,17141,Ogle,Oregon,53497,1964.6979999999999,758.574,11.425,4.411,1976.1229999999998,762.985,42.041884,-89.320176,"Ogle<br>Every 10,000 People 530.0 Not using Mask<br>Max of 23.0 People can get Infected",530.0,23.0
666,666,667,IL,17143,Peoria,Peoria,186494,1603.745,619.2090000000001,29.499,11.390,1633.244,630.599,40.785999,-89.767358,"Peoria<br>Every 10,000 People 390.0 Not using Mask<br>Max of 159.0 People can get Infected",390.0,159.0
667,667,668,IL,17145,Perry,Pinckneyville,22350,1144.155,441.76099999999997,13.447,5.192,1157.6019999999999,446.95300000000003,38.084385,-89.368487,"Perry<br>Every 10,000 People 550.0 Not using Mask<br>Max of 14.0 People can get Infected",550.0,14.0
668,668,669,IL,17147,Piatt,Monticello,16729,1137.529,439.202,0.673,0.260,1138.202,439.462,40.009056,-88.59232800000001,"Piatt<br>Every 10,000 People 30.0 Not using Mask<br>Max of 19.0 People can get Infected",30.0,19.0
669,669,670,IL,17149,Pike,Pittsfield,16430,2153.268,831.3810000000001,45.333,17.503,2198.6020000000003,848.8839999999999,39.625106,-90.889034,"Pike<br>Every 10,000 People 1380.0 Not using Mask<br>Max of 7.0 People can get Infected",1380.0,7.0
670,670,671,IL,17151,Pope,Golconda,4470,955.11,368.77,14.329,5.532,969.439,374.30199999999996,37.417169,-88.542374,"Pope<br>Every 10,000 People 1040.0 Not using Mask<br>Max of 5.0 People can get Infected",1040.0,5.0
671,671,672,IL,17153,Pulaski,Mound City,6161,515.886,199.185,10.475,4.044,526.361,203.229,37.215615,-89.12775500000001,"Pulaski<br>Every 10,000 People 1170.0 Not using Mask<br>Max of 7.0 People can get Infected",1170.0,7.0
672,672,673,IL,17155,Putnam,Hennepin,6006,414.814,160.161,31.243,12.063,446.05699999999996,172.22400000000002,41.19894,-89.298386,"Putnam<br>Every 10,000 People 210.0 Not using Mask<br>Max of 2.0 People can get Infected",210.0,2.0
673,673,674,IL,17157,Randolph,Chester,33476,1490.5379999999998,575.5,56.216,21.705,1546.753,597.205,38.056515000000005,-89.82121,"Randolph<br>Every 10,000 People 80.0 Not using Mask<br>Max of 75.0 People can get Infected",80.0,75.0
674,674,675,IL,17159,Richland,Olney,16233,932.3710000000001,359.99,4.937,1.906,937.308,361.89599999999996,38.71155,-88.085698,"Richland<br>Every 10,000 People 1110.0 Not using Mask<br>Max of 23.0 People can get Infected",1110.0,23.0
675,675,676,IL,17161,Rock Island,Rock Island,147546,1107.573,427.63599999999997,61.257,23.652,1168.8310000000001,451.288,41.468404,-90.572203,"Rock Island<br>Every 10,000 People 780.0 Not using Mask<br>Max of 131.0 People can get Infected",780.0,131.0
676,676,677,IL,17163,St. Clair,Harrisburg,270056,1703.589,657.7589999999999,42.150,16.274,1745.7379999999998,674.033,38.470197999999996,-89.928546,"St. Clair<br>Every 10,000 People 320.0 Not using Mask<br>Max of 295.0 People can get Infected",320.0,295.0
677,677,678,IL,17165,Saline,Springfield,24913,983.7260000000001,379.819,18.029,6.961,1001.755,386.78,37.751653000000005,-88.54503100000001,"Saline<br>Every 10,000 People 1170.0 Not using Mask<br>Max of 19.0 People can get Infected",1170.0,19.0
678,678,679,IL,17167,Sangamon,Rushville,197465,2248.893,868.302,22.577,8.717,2271.47,877.0189999999999,39.756378000000005,-89.662311,"Sangamon<br>Every 10,000 People 170.0 Not using Mask<br>Max of 131.0 People can get Infected",170.0,131.0
679,679,680,IL,17169,Schuyler,Winchester,7544,1132.531,437.273,10.512,4.059,1143.0430000000001,441.332,40.156905,-90.61346400000001,"Schuyler<br>Every 10,000 People 1320.0 Not using Mask<br>Max of 2.0 People can get Infected",1320.0,2.0
680,680,681,IL,17171,Scott,Shelbyville,5355,649.861,250.91299999999998,4.813,1.858,654.674,252.771,39.63698,-90.47775899999999,"Scott<br>Every 10,000 People 1130.0 Not using Mask<br>Max of 7.0 People can get Infected",1130.0,7.0
681,681,682,IL,17173,Shelby,Belleville,22363,1964.565,758.523,24.726,9.547,1989.2910000000002,768.07,39.384926,-88.798862,"Shelby<br>Every 10,000 People 700.0 Not using Mask<br>Max of 37.0 People can get Infected",700.0,37.0
682,682,683,IL,17175,Stark,Toulon,5994,746.122,288.079,0.709,0.274,746.83,288.353,41.096908,-89.797411,"Stark<br>Every 10,000 People 130.0 Not using Mask<br>Max of 21.0 People can get Infected",130.0,21.0
683,683,684,IL,17177,Stephenson,Freeport,47711,1462.108,564.523,1.386,0.535,1463.494,565.058,42.349726000000004,-89.665994,"Stephenson<br>Every 10,000 People 360.0 Not using Mask<br>Max of 11.0 People can get Infected",360.0,11.0
684,684,685,IL,17179,Tazewell,Pekin,135394,1680.835,648.974,23.211,8.962,1704.047,657.936,40.508074,-89.51626,"Tazewell<br>Every 10,000 People 440.0 Not using Mask<br>Max of 119.0 People can get Infected",440.0,119.0
685,685,686,IL,17181,Union,Jonesboro,17808,1070.854,413.459,22.504,8.689,1093.358,422.148,37.475103999999995,-89.252875,"Union<br>Every 10,000 People 1000.0 Not using Mask<br>Max of 6.0 People can get Infected",1000.0,6.0
686,686,687,IL,17183,Vermilion,Danville,81625,2326.764,898.368,7.534,2.909,2334.298,901.2769999999999,40.18674,-87.726772,"Vermilion<br>Every 10,000 People 230.0 Not using Mask<br>Max of 40.0 People can get Infected",230.0,40.0
687,687,688,IL,17185,Wabash,Mount Carmel,11947,578.219,223.252,11.018,4.254,589.237,227.50599999999997,38.445821,-87.839167,"Wabash<br>Every 10,000 People 780.0 Not using Mask<br>Max of 23.0 People can get Infected",780.0,23.0
688,688,689,IL,17187,Warren,Monmouth,17707,1404.8239999999998,542.405,1.674,0.646,1406.4979999999998,543.0509999999999,40.850441,-90.620223,"Warren<br>Every 10,000 People 420.0 Not using Mask<br>Max of 12.0 People can get Infected",420.0,12.0
689,689,690,IL,17189,Washington,Nashville,14716,1457.055,562.572,3.455,1.334,1460.51,563.906,38.353141,-89.417187,"Washington<br>Every 10,000 People 1180.0 Not using Mask<br>Max of 16.0 People can get Infected",1180.0,16.0
690,690,691,IL,17191,Wayne,Fairfield,16760,1848.77,713.814,4.331,1.672,1853.101,715.4860000000001,38.431948,-88.432129,"Wayne<br>Every 10,000 People 860.0 Not using Mask<br>Max of 16.0 People can get Infected",860.0,16.0
691,691,692,IL,17193,White,Carmi,14665,1281.4389999999999,494.76599999999996,18.375,7.095,1299.8139999999999,501.861,38.087371999999995,-88.178585,"White<br>Every 10,000 People 1900.0 Not using Mask<br>Max of 23.0 People can get Infected",1900.0,23.0
